PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Marco Gonzales,,,Healthy,,,,,,marco,gonzales,594835,gonzm005,gonzama02,15467,2014,2020,,,2019
Aaron Nola,,,Healthy,,,,,,aaron,nola,605400,nolaa001,nolaaa01,16149,2015,2020,,,2019
Trevor Bauer,,,Healthy,,,,,,trevor,bauer,545333,bauet001,bauertr01,12703,2012,2020,,,2019
Madison Bumgarner,,,Healthy,,,,,,madison,bumgarner,518516,bumgm001,bumgama01,5524,2009,2020,,,2019
Ivan Nova,,,Healthy,,,,,,ivan,nova,467100,novai001,novaiv01,1994,2010,2020,,,2019
Gerrit Cole,,,Healthy,,,,,,gerrit,cole,543037,coleg001,colege01,13125,2013,2020,,,2019
Lance Lynn,,,Healthy,,,,,,lance,lynn,458681,lynnl001,lynnla01,2520,2011,2020,,,2019
Charlie Morton,,,Healthy,,,,,,charlie,morton,119424,mortc101,mortoch01,1009231,1882,1885,,,2019
Charlie Morton,,,Healthy,,,,,,charlie,morton,450203,mortc002,mortoch02,4676,2008,2020,,,2019
Stephen Strasburg,,,Healthy,,,,,,stephen,strasburg,544931,stras001,strasst01,10131,2010,2020,,,2019
Shane Bieber,,,Healthy,,,,,,shane,bieber,669456,biebs001,biebesh01,19427,2018,2020,,,2019
Zack Greinke,,,Healthy,,,,,,zack,greinke,425844,greiz001,greinza01,1943,2004,2020,,,2019
Patrick Corbin,,,Healthy,,,,,,patrick,corbin,571578,corbp001,corbipa01,9323,2012,2020,,,2019
Jack Flaherty,,,Healthy,,,,,,jack,flaherty,656427,flahj002,flaheja01,17479,2017,2020,,,2019
Reynaldo Lopez,,,Healthy,,,,,,reynaldo,lopez,625643,loper003,lopezre01,16400,2016,2020,,,2019
Wade Miley,,,Healthy,,,,,,wade,miley,489119,milew001,mileywa01,8779,2011,2020,,,2019
Mike Fiers,,,Healthy,,,,,,mike,fiers,571666,fierm001,fiersmi01,7754,2011,2020,,,2019
Julio Teheran,,,Healthy,,,,,,julio,teheran,527054,tehej001,teherju01,6797,2011,2020,,,2019
Jose Berrios,,,Healthy,,,,,,jose,berrios,621244,berrj001,berrijo01,14168,2016,2020,,,2019
Mike Minor,,,Healthy,,,,,,mike,minor,501985,minom001,minormi01,10021,2010,2020,,,2019
Luis Castillo,,,Healthy,,,,,,luis,castillo,112116,castl001,castilu01,513,1996,2010,,,2019
Luis Castillo,,,Healthy,,,,,,luis,castillo,622491,castl003,castilu02,15689,2017,2020,,,2019
Marcus Stroman,,,Healthy,,,,,,marcus,stroman,573186,strom001,stromma01,13431,2014,2019,,,2019
Miles Mikolas,,,Healthy,,,,,,miles,mikolas,571945,mikom001,mikolmi01,9803,2012,2019,,,2019
Sandy Alcantara,,,Healthy,,,,,,sandy,alcantara,645261,alcas001,alcansa01,18684,2017,2020,,,2019
Merrill Kelly,,,Healthy,,,,,,merrill,kelly,518876,kellm002,kellyme01,11156,2019,2020,,,2019
Rick Porcello,,,Healthy,,,,,,rick,porcello,519144,porcr001,porceri01,2717,2009,2020,,,2019
Jeff Samardzija,,,Healthy,,,,,,jeff,samardzija,502188,samaj001,samarje01,3254,2008,2020,,,2019
Dakota Hudson,,,Healthy,,,,,,dakota,hudson,641712,hudsd002,hudsoda02,19206,2018,2020,,,2019
Mike Leake,,,Healthy,,,,,,mike,leake,502190,leakm001,leakemi01,10130,2010,2019,,,2019
Yusei Kikuchi,,,Healthy,,,,,,yusei,kikuchi,579328,kikuy001,kikucyu01,20633,2019,2020,,,2019
Sonny Gray,,,Healthy,,,,,,sonny,gray,543243,grays001,grayso01,12768,2013,2020,,,2019
Jose Quintana,,,Healthy,,,,,,jose,quintana,500779,quinj001,quintjo01,11423,2012,2020,,,2019
Joe Musgrove,,,Healthy,,,,,,joe,musgrove,605397,musgj001,musgrjo01,12970,2016,2020,,,2019
